"","satisfaction","issue","gender","education","age","income","franco","CITY","PCODE","im_many","im_ref","im_val","im_econ","similar","party","nafta","us_view","province","year","CSD","Year","Total_Trade_Exposure","Total_Employment","nafta_raw","nafta_pro","per_us_ex","QC","econ_sat","ideology_index","CD","economic_left_right"
"11",0,"Immigration/refugees/racial issues",0,"High school and above",3,"Low income",1,"GORE","J0V1K0",2,3,4,4,1,NA,2,3,"QC","2017","2476025","2017",0.00601334553153592,84,2,0,0.601334553153592,1,NA,3,NA,NA
"12",0,"Unemployment",0,"High school and above",4,"Low income",0,"KITCHENER","N2N1K1",2,4,2,2,3,NA,2,4,"ON","2017","3530013","2017",0.00118942435554282,35540,2,0,0.118942435554282,0,NA,2.66666666666667,NA,NA
"13",1,"Unemployment",0,"High school and above",3,"High income",0,"CALGARY","T2G",3,1,2,4,3,NA,1,2,"AB","2017","4806016","2017",0.000596641845837367,330360,1,1,0.0596641845837367,0,1,2,NA,NA
"14",0,"Environment/pollution/climate change",1,"High school and above",4,"Median income",0,"MAPLE RIDGE","V2X8S3",1,NA,3,3,3,NA,2,4,"BC","2017","5915075","2017",0.00183688632903965,16350,2,0,0.183688632903965,0,NA,2,NA,NA
"15",1,"DK/NA",0,"Less than high school",4,"Median income",0,"Moosomin","",3,2,2,4,3,NA,3,2,"MB/SK","2017","",NA,NA,NA,3,NA,NA,0,1,2.33333333333333,NA,NA
"16",1,"Economy/interest rates/Recession",0,"University and above",3,NA,0,"GLOUCESTER","K1V1T1",1,2,3,3,3,NA,1,2,"ON","2017","3506008","2017",0.000492667934795515,222593,1,1,0.0492667934795515,0,1,2,NA,NA
"17",1,"Health-care",0,"Less than high school",4,"Low income",1,"SAINT-UBALDE","G0A4L0",2,3,3,2,3,NA,2,2,"QC","2017","2434090","2017",0.00535773999785328,350,2,0,0.535773999785328,1,1,2.66666666666667,NA,NA
"18",1,"Unemployment",0,"University and above",4,"High income",1,"TROIS-PISTOLES","G0L4K0",1,1,1,4,2,NA,1,3,"QC","2017","2411040","2017",0.00292287182701803,332,1,1,0.292287182701803,1,1,1,NA,NA
"19",1,"Donald Trump/US politics/US policy",1,"High school and above",4,"Median income",0,"New Westminster","",1,2,2,4,3,NA,2,3,"BC","2017","",NA,NA,NA,2,0,NA,0,1,1.66666666666667,NA,NA
"20",1,"Health-care",0,"Less than high school",4,"Low income",0,"MONCTON","E1C4X4",3,4,4,3,2,NA,1,4,"Atlantic","2017","1307022","2017",0.000999174348671518,21644,1,1,0.0999174348671518,0,1,3.66666666666667,NA,NA
"21",NA,"Health-care",0,"University and above",4,"Low income",1,"SAINTE-CATHERINE","J5C1H7",4,3,2,4,2,NA,2,4,"QC","2017","2467030","2017",0.00231997534901555,788,2,0,0.231997534901555,1,NA,3,NA,NA
"22",1,"Health-care",0,"Less than high school",4,"Low income",1,"SALABERRY-DE-VALLEYFIELD","J6S2H9",4,3,3,4,2,NA,2,4,"QC","2017","2470052","2017",0.00207795376457768,6155,2,0,0.207795376457768,1,1,3.33333333333333,NA,NA
"23",1,"Poor government/leadership",0,"High school and above",4,NA,0,"SWAN RIVER","R0L1Z0",3,4,4,2,3,NA,1,3,"MB/SK","2017","4620048","2017",0.00213819363737084,1264,1,1,0.213819363737084,0,1,3.66666666666667,NA,NA
"24",0,"Unemployment",1,"High school and above",3,"Low income",0,"SARNIA","N7S1J5",4,3,1,4,1,NA,NA,1,"ON","2017","3538030","2017",0.00147313434526755,8340,NA,NA,0.147313434526755,0,NA,2.66666666666667,NA,NA
"25",0,"Health-care",0,"High school and above",2,"Low income",1,"VICTORIAVILLE","G6P3E9",1,2,2,3,2,NA,2,3,"QC","2017","2439062","2017",0.00250191848635705,5169,2,0,0.250191848635705,1,NA,1.66666666666667,NA,NA
"26",0,"Environment/pollution/climate change",0,"University and above",3,"Median income",0,"MASSET","V0T1M0",1,1,2,4,3,NA,1,2,"BC","2017","5947027","2017",0.000102696351974898,40,1,1,0.0102696351974899,0,NA,1.33333333333333,NA,NA
"27",1,"Deficit/public debt",1,"High school and above",3,"High income",0,"Toronto","",1,2,1,4,2,NA,1,3,"ON","2017","",NA,NA,NA,1,1,NA,0,1,1.33333333333333,NA,NA
"28",1,"Health-care",0,"High school and above",1,"Low income",1,"Montreal","",3,3,2,3,1,NA,1,2,"QC","2017","",NA,NA,NA,1,1,NA,1,1,2.66666666666667,NA,NA
"29",1,"Health-care",0,"University and above",4,"Median income",0,"NORTH YORK","M2L2P8",2,3,2,3,2,NA,1,2,"ON","2017","3520005","2017",0.000503020451719662,768033,1,1,0.0503020451719662,0,1,2.33333333333333,NA,NA
"30",NA,"World conflict/war",1,"High school and above",4,"Low income",0,"OWEN SOUND","N4K6B7",2,3,4,3,2,NA,1,NA,"ON","2017","3542059","2017",0.000923482151629588,1792,1,1,0.0923482151629588,0,NA,3,NA,NA
"31",1,"Poverty/hunger/homelessness",1,"University and above",3,"High income",0,"CALGARY","T2V",2,1,2,3,1,NA,2,3,"AB","2017","4806016","2017",0.000596641845837367,330360,2,0,0.0596641845837367,0,1,1.66666666666667,NA,NA
"32",1,"None",1,"University and above",3,"High income",0,"Toronto","",4,2,2,4,2,NA,1,2,"ON","2017","",NA,NA,NA,1,1,NA,0,1,2.66666666666667,NA,NA
"33",0,"Economy/interest rates/Recession",0,"University and above",4,NA,0,"MISSISSAUGA","L5L1N4",2,2,4,1,3,NA,NA,2,"ON","2017","3521005","2017",0.000989727279455907,158470,NA,NA,0.0989727279455907,0,NA,2.66666666666667,NA,NA
"34",1,"Education Issues",0,"University and above",3,"High income",1,"SHANNON","G0A4N0",4,4,4,3,3,NA,2,2,"QC","2017","2422020","2017",0.00254950169494003,220,2,0,0.254950169494003,1,1,4,NA,NA
"35",1,"Poverty/hunger/homelessness",0,"University and above",3,"High income",0,"WHITECOURT","T7S1W7",1,2,1,4,2,NA,1,4,"AB","2017","4813030","2017",0.00173454750652323,1572,1,1,0.173454750652323,0,1,1.33333333333333,NA,NA
"36",1,"Health-care",0,"University and above",3,"High income",0,"CALGARY","T2P",1,2,2,3,1,NA,1,3,"AB","2017","4806014","2017",0.00206779434949225,10804,1,1,0.206779434949225,0,1,1.66666666666667,NA,NA
"37",1,"Health-care",1,"Less than high school",4,"Low income",1,"REPENTIGNY","J5Z4X8",3,3,4,3,3,NA,2,2,"QC","2017","2460013","2017",0.00144892243895881,4538,2,0,0.144892243895881,1,1,3.33333333333333,NA,NA
"38",1,"Education Issues",0,"High school and above",1,NA,0,"Ottawa-Hull","",4,4,4,1,2,NA,2,1,"ON","2017","",NA,NA,NA,2,0,NA,0,1,4,NA,NA
"39",0,"Health-care",0,"University and above",4,"Low income",1,"SAINTE-LUCE","G0K1P0",1,2,2,4,2,NA,1,3,"QC","2017","2409092","2017",0.00457344177329502,276,1,1,0.457344177329502,1,NA,1.66666666666667,NA,NA
"40",1,"Environment/pollution/climate change",1,"High school and above",4,"Low income",1,"ROUYN-NORANDA","J0Z1B0",2,2,2,3,3,NA,1,3,"QC","2017","2486042","2017",0.00197579721879036,4047,1,1,0.197579721879036,1,1,2,NA,NA
"41",1,"Terrorism/Security",0,"University and above",4,NA,0,"OTTAWA","K1G1R8",1,1,2,3,2,NA,1,3,"ON","2017","3506008","2017",0.000492667934795515,222593,1,1,0.0492667934795515,0,1,1.33333333333333,NA,NA
"42",0,"Health-care",0,"High school and above",4,"Low income",0,"LOWER SACKVILLE","B4C2M3",2,4,2,4,3,NA,1,4,"Atlantic","2017","1209034","2017",0.000781827778883581,85956,1,1,0.0781827778883581,0,NA,2.66666666666667,NA,NA
"43",1,"DK/NA",1,"High school and above",3,"High income",0,"WELLAND","L3C7C6",1,2,1,4,2,NA,1,4,"ON","2017","3526032","2017",0.00219619770756366,6520,1,1,0.219619770756366,0,1,1.33333333333333,NA,NA
"44",0,"Deficit/public debt",0,"High school and above",4,"Low income",0,"LONDON","N5Z1N7",4,3,4,1,3,NA,3,2,"ON","2017","3539036","2017",0.000810814281382892,86884,3,NA,0.0810814281382892,0,NA,3.66666666666667,NA,NA
"45",0,"Taxes",1,NA,4,"High income",0,"London","",4,4,4,3,3,NA,NA,2,"ON","2017","",NA,NA,NA,NA,NA,NA,0,NA,4,NA,NA
"46",0,"Deficit/public debt",0,"High school and above",4,"Median income",0,"NEPEAN","K2E1C8",1,2,3,4,3,NA,1,4,"ON","2017","3506008","2017",0.000492667934795515,222593,1,1,0.0492667934795515,0,NA,2,NA,NA
"47",0,"Economy/interest rates/Recession",1,"University and above",3,"Low income",0,"Toronto","",1,4,1,4,1,NA,1,1,"ON","2017","",NA,NA,NA,1,1,NA,0,NA,2,NA,NA
"48",0,"Immigration/refugees/racial issues",0,"University and above",4,"High income",1,"LVIS","G6C1H5",1,2.5,3,4,2,NA,2,4,"QC","2017","2425213","2017",0.00172157417090969,34088,2,0,0.172157417090969,1,NA,2.16666666666667,NA,NA
"49",0,"Deficit/public debt",1,"High school and above",4,"Low income",0,"VEGREVILLE","T9C1C2",3,3,2,2,1,NA,2,2,"AB","2017","4810028","2017",0.00176026742350825,873,2,0,0.176026742350825,0,NA,2.66666666666667,NA,NA
"50",0,"Health-care",0,"Less than high school",4,NA,1,"RIVIERE-ROUGE","J0T1T0",4,4,4,1,3,NA,2,2,"QC","2017","2479037","2017",0.00317370445189666,456,2,0,0.317370445189666,1,NA,4,NA,NA
"51",NA,"Deficit/public debt",1,"High school and above",3,"Median income",0,"Calgary","",2,2.5,3,4,3,NA,1,1,"AB","2017","",NA,NA,NA,1,1,NA,0,NA,2.5,NA,NA
"52",0,"Crime/law and order",0,"Less than high school",4,"Low income",0,"OTTAWA","K2B5M3",2,3,3,3,1,NA,1,2,"ON","2017","3506008","2017",0.000492667934795515,222593,1,1,0.0492667934795515,0,NA,2.66666666666667,NA,NA
"53",1,"Poverty/hunger/homelessness",0,"University and above",1,"Median income",1,"St-Jerome","",3,1,2,4,3,NA,1,3,"QC","2017","",NA,NA,NA,1,1,NA,1,1,2,NA,NA
"54",1,"Immigration/refugees/racial issues",0,"High school and above",4,"Low income",1,"WICKHAM","J0C1S0",3,3,3,3,3,NA,1,2,"QC","2017","2449040","2017",0.00764659224822684,378,1,1,0.764659224822684,1,1,3,NA,NA
"55",0,"Health-care",0,"University and above",4,NA,0,"WOODSTOCK","N4T1T5",2,3,4,3,2,NA,2,1,"ON","2017","3532042","2017",0.00287193294674709,7108,2,0,0.287193294674709,0,NA,3,NA,NA
"56",0,"Unemployment",0,"University and above",3,"Median income",1,"LAVAL","H7K3L1",2,4,1,4,3,NA,1,4,"QC","2017","2465005","2017",0.00102943780924589,106944,1,1,0.102943780924589,1,NA,2.33333333333333,NA,NA
"57",1,"Unemployment",1,"University and above",2,"Median income",1,"LAVAL","H7R",2,2,2,3,3,NA,2,2,"QC","2017","2465005","2017",0.00102943780924589,106944,2,0,0.102943780924589,1,1,2,NA,NA
"58",1,"Donald Trump/US politics/US policy",1,NA,4,"Low income",0,"VANCOUVER","V6G2Y1",2.5,2,4,3,3,NA,3,NA,"BC","2017","5915022","2017",0.000554615833894663,265258,3,NA,0.0554615833894663,0,1,2.83333333333333,NA,NA
"59",1,"Environment/pollution/climate change",0,"University and above",4,"Median income",1,"MONTRAL","H4A3M3",3,2,3,3,3,NA,1,3,"QC","2017","2466023","2017",0.000698237313772013,409423,1,1,0.0698237313772013,1,1,2.66666666666667,NA,NA
"60",0,"Inflation/cost of living",1,"Less than high school",4,"Low income",0,"MONTCERF-LYTTON","J0W1N0",3,3,4,1,3,NA,2,4,"QC","2017","2483088","2017",0.00219912144016858,48,2,0,0.219912144016858,1,NA,3.33333333333333,NA,NA
"61",NA,"Unemployment",1,"High school and above",4,NA,0,"NORTHBROOK","K0H2G0",4,3,4,4,3,NA,3,4,"ON","2017","3511035","2017",0.00165671804866246,200,3,NA,0.165671804866246,0,NA,3.66666666666667,NA,NA
"62",1,"Economy/interest rates/Recession",1,"High school and above",4,NA,0,"MISSISSAUGA","L5B2B6",3,2,3,3,3,NA,2,2,"ON","2017","3521005","2017",0.000989727279455907,158470,2,0,0.0989727279455907,0,1,2.66666666666667,NA,NA
"63",1,"Economy/interest rates/Recession",0,"High school and above",4,NA,0,"NANAIMO","V9X1B8",1,3,3,4,3,NA,1,1,"BC","2017","5921007","2017",0.000977275973912678,18460,1,1,0.0977275973912678,0,1,2.33333333333333,NA,NA
"64",0,"Poor government/leadership",0,"Less than high school",4,"Low income",0,"Edmonton","",4,4,4,1,3,NA,1,2,"AB","2017","",NA,NA,NA,1,1,NA,0,NA,4,NA,NA
"65",0,"Economy/interest rates/Recession",1,"High school and above",4,"Median income",0,"WHITBY","L1M1E5",4,2,4,1,3,NA,2,1,"ON","2017","3518009","2017",0.00166171310430879,15056,2,0,0.166171310430879,0,NA,3.33333333333333,NA,NA
"66",1,"Personal finances",0,"University and above",3,"High income",1,"LAVAL","H7L0B9",2,2,3,3,3,NA,1,3,"QC","2017","2465005","2017",0.00102943780924589,106944,1,1,0.102943780924589,1,1,2.33333333333333,NA,NA
"67",0,"Economy/interest rates/Recession",0,"High school and above",4,"Low income",0,"HANLEY","S0G2E0",2,2,2,2,3,NA,2,2,"MB/SK","2017","4711032","2017",0.00638819133219728,46,2,0,0.638819133219728,0,NA,2,NA,NA
"68",1,"Health-care",1,"Less than high school",4,"Low income",1,"VAL-D'OR","J9P0B4",3,2,3,3,1,NA,1,4,"QC","2017","2489008","2017",0.00220204898547617,3516,1,1,0.220204898547617,1,1,2.66666666666667,NA,NA
"69",1,"Environment/pollution/climate change",0,"High school and above",3,"Median income",0,"CORNWALL","C0A1H0",2,2,2,3,3,NA,1,3,"Atlantic","2017","1102085","2017",0.00247604309056793,513,1,1,0.247604309056793,0,1,2,NA,NA
"70",0,"Poor government/leadership",1,"High school and above",4,"Low income",0,"CHILLIWACK","V2R2X4",2,3,4,3,3,NA,3,2,"BC","2017","5909020","2017",0.00198862361724718,28024,3,NA,0.198862361724718,0,NA,3,NA,NA
"71",1,"Unemployment",0,"High school and above",4,NA,0,"RIDGETOWN","N0P2C0",4,2,4,3,99,NA,NA,3,"ON","2017","3536020","2017",0.00234330263820782,26696,NA,NA,0.234330263820782,0,1,3.33333333333333,NA,NA
"72",NA,"Unemployment",0,"High school and above",4,"High income",0,"Toronto","",2,3,2,3,2,NA,1,3,"ON","2017","",NA,NA,NA,1,1,NA,0,NA,2.33333333333333,NA,NA
"73",1,"Donald Trump/US politics/US policy",1,"Less than high school",2,"High income",0,"LINWOOD","N0B2A0",3,NA,3,3,3,NA,2,2,"ON","2017","3530027","2017",0.0099699484221033,2220,2,0,0.99699484221033,0,1,3,NA,NA
"74",1,"Taxes",0,"High school and above",1,"Low income",0,"CARLETON PLACE","K7C1J7",2,4,3,4,3,NA,1,4,"ON","2017","3509028","2017",0.0031127000686319,1563,1,1,0.31127000686319,0,1,3,NA,NA
"75",1,"Environment/pollution/climate change",0,"High school and above",3,"Median income",1,"Montreal","",2,1,2,3,3,NA,2,3,"QC","2017","",NA,NA,NA,2,0,NA,1,1,1.66666666666667,NA,NA
"76",0,"Moral Isues",1,"University and above",4,"Median income",1,"AMOS","J9T3P3",3,3,4,3,1,NA,1,4,"QC","2017","2488055","2017",0.00266985912114258,1701,1,1,0.266985912114258,1,NA,3.33333333333333,NA,NA
"77",1,"Poor government/leadership",0,"High school and above",4,NA,1,"COWANSVILLE","J2K3S9",2,NA,2,3,3,NA,3,3,"QC","2017","2446080","2017",0.00399344713082135,1464,3,NA,0.399344713082135,1,1,2,NA,NA
"78",0,"Economy/interest rates/Recession",0,"High school and above",4,"Low income",0,"CHILLIWACK","V2R5Z1",2,4,4,4,1,NA,2,2,"BC","2017","5909020","2017",0.00198862361724718,28024,2,0,0.198862361724718,0,NA,3.33333333333333,NA,NA
"79",0,"Economy/interest rates/Recession",1,"University and above",4,"High income",0,"ALBERTA BEACH","T0E0A0",1,4,4,1,3,NA,2,3,"AB","2017","4813012",NA,NA,NA,2,0,NA,0,NA,3,NA,NA
"80",NA,"Inflation/cost of living",1,"High school and above",3,"Low income",0,"ST. JOHN'S","A1C6E9",2,2,2,3,3,NA,NA,4,"Atlantic","2017","1001519","2017",0.000669574106387918,28290,NA,NA,0.0669574106387918,0,NA,2,NA,NA
"81",0,"Economy/interest rates/Recession",1,"Less than high school",4,"Low income",0,"LANGLEY","V1M2E9",4,4,4,4,2,NA,2,2,"BC","2017","5915001","2017",0.00160299303382862,48808,2,0,0.160299303382862,0,NA,4,NA,NA
"82",0,"Economy/interest rates/Recession",1,"High school and above",3,"High income",0,"New Glasgow","",2,3,2,4,3,NA,1,3,"Atlantic","2017","",NA,NA,NA,1,1,NA,0,NA,2.33333333333333,NA,NA
"83",1,"Taxes",1,"High school and above",3,"Low income",1,"SHERBROOKE","J1G",3,2.5,4,2,3,NA,2,2,"QC","2017","2443027","2017",0.00203140357393072,31002,2,0,0.203140357393072,1,1,3.16666666666667,NA,NA
"84",1,"Poverty/hunger/homelessness",0,"High school and above",3,NA,0,"Lethbridge","",3,2.5,4,3,1,NA,3,3,"AB","2017","",NA,NA,NA,3,NA,NA,0,1,3.16666666666667,NA,NA
"85",0,"Health-care",1,"High school and above",4,"High income",0,"DORCHESTER","N0L1G1",3,4,4,4,1,NA,2,3,"ON","2017","3539027","2017",0.00471812931635068,3276,2,0,0.471812931635068,0,NA,3.66666666666667,NA,NA
"86",1,"World conflict/war",1,"University and above",3,"Low income",0,"Toronto","",1,2,2,4,3,NA,1,3,"ON","2017","",NA,NA,NA,1,1,NA,0,1,1.66666666666667,NA,NA
"87",0,"Immigration/refugees/racial issues",1,"University and above",2,"High income",1,"QUBEC","G1P2P6",2.5,2.5,3,2,3,NA,2,1,"QC","2017","2423027","2017",0.000955383620640716,103260,2,0,0.0955383620640716,1,NA,2.66666666666667,NA,NA
"88",1,"Health-care",0,"University and above",4,"Low income",1,"SAINT-MARC-SUR-RICHELIEU","J0L2E0",2,2,3,4,1,NA,2,3,"QC","2017","2457050","2017",0.00229392132969866,312,2,0,0.229392132969866,1,1,2.33333333333333,NA,NA
"89",0,"Social issues/cuts to social programs/social safety net",1,"Less than high school",4,"High income",0,"SUDBURY","",4,3,4,3,3,NA,3,4,"ON","2017","",NA,NA,NA,3,NA,NA,0,NA,3.66666666666667,NA,NA
"90",1,"Poverty/hunger/homelessness",0,"High school and above",4,"Low income",0,"MOOSE JAW","S6J1A1",3,4,3,1,3,NA,1,2,"MB/SK","2017","4707039","2017",0.0018983517180527,5850,1,1,0.18983517180527,0,1,3.33333333333333,NA,NA
"91",0,"Crime/law and order",0,"High school and above",3,NA,1,"LONGUEUIL","J4K3B7",4,NA,4,2,1,NA,2,3,"QC","2017","2458227","2017",0.00145450713631024,30445,2,0,0.145450713631024,1,NA,4,NA,NA
"92",0,"Inflation/cost of living",0,"High school and above",4,"Median income",0,"Toronto","",2,3,4,3,3,NA,2,2,"ON","2017","",NA,NA,NA,2,0,NA,0,NA,3,NA,NA
"93",1,"Economy/interest rates/Recession",1,"High school and above",1,"Low income",0,"STONEY CREEK","L8J0C2",1,2,1,4,2,NA,1,1,"ON","2017","3525005","2017",0.000998837746640691,132176,1,1,0.0998837746640691,0,1,1.33333333333333,NA,NA
"94",0,"Taxes",0,"University and above",3,"Median income",0,"CALGARY","T3G",4,4,4,1,2,NA,2,1,"AB","2017","4806016","2017",0.000596641845837367,330360,2,0,0.0596641845837367,0,NA,4,NA,NA
"95",0,"Immigration/refugees/racial issues",0,"High school and above",4,"Median income",0,"PORT HOPE","L1A3V7",4,4,4,4,2,NA,2,3,"ON","2017","3514020","2017",0.00241606218164724,2375,2,0,0.241606218164723,0,NA,4,NA,NA
"96",1,"Health-care",0,"University and above",3,"Median income",0,"RICHMOND","V7E6N6",2.5,3,4,3,3,NA,1,2,"BC","2017","5915015","2017",0.00122158664302228,65472,1,1,0.122158664302228,0,1,3.16666666666667,NA,NA
"97",1,"Health-care",1,"University and above",4,NA,0,"EDMONTON","T5R3A8",1,2.5,2.5,4,3,NA,1,3,"AB","2017","4811061","2017",0.000630241874397401,266931,1,1,0.0630241874397401,0,1,2,NA,NA
"98",0,"Economy/interest rates/Recession",1,"High school and above",4,"Low income",1,"DUNHAM","J0E1M0",2,2.5,4,3,1,NA,1,3,"QC","2017","2446050","2017",0.00420428511315216,906,1,1,0.420428511315216,1,NA,2.83333333333333,NA,NA
"99",1,"Terrorism/Security",0,"High school and above",4,"Low income",0,"TORONTO","M4L3L4",4,4,4,4,1,NA,2,2,"ON","2017","3520005","2017",0.000503020451719662,768033,2,0,0.0503020451719662,0,1,4,NA,NA
"100",1,"Health-care",1,"High school and above",4,NA,1,"SAINT-BASILE","G0A3G0",2,3,3,3,1,NA,2,3,"QC","2017","2434038","2017",0.00381720703026117,204,2,0,0.381720703026117,1,1,2.66666666666667,NA,NA
"101",0,"Health-care",1,"University and above",4,"Low income",0,"UPPER SACKVILLE","B4E3C7",4,3,4,1,3,NA,2,2,"Atlantic","2017","1209034","2017",0.000781827778883581,85956,2,0,0.0781827778883581,0,NA,3.66666666666667,NA,NA
"102",0,"Environment/pollution/climate change",0,"High school and above",4,"Median income",0,"WALLACEBURG","N8A4L1",4,3,4,1,2,NA,3,2,"ON","2017","3536020","2017",0.00234330263820782,26696,3,NA,0.234330263820782,0,NA,3.66666666666667,NA,NA
"103",0,"Health-care",0,"High school and above",3,"Low income",1,"RIMOUSKI","G5L",4,4,4,2,3,NA,2,3,"QC","2017","2410043","2017",0.00184820151808018,8640,2,0,0.184820151808018,1,NA,4,NA,NA
"104",1,"Unemployment",1,"High school and above",4,"Low income",0,"CALGARY","T2J0J5",3,4,4,3,2,NA,2,2,"AB","2017","4806016","2017",0.000596641845837367,330360,2,0,0.0596641845837367,0,1,3.66666666666667,NA,NA
"105",0,"Economy/interest rates/Recession",0,"High school and above",4,"Low income",1,"LAVAL","H7W",4,1,1,1,3,NA,2,3,"QC","2017","2465005","2017",0.00102943780924589,106944,2,0,0.102943780924589,1,NA,2,NA,NA
"106",0,"Economy/interest rates/Recession",1,"University and above",4,"High income",0,"MISSISSAUGA","L5J0A3",3,4,4,4,1,NA,2,2,"ON","2017","3521005","2017",0.000989727279455907,158470,2,0,0.0989727279455907,0,NA,3.66666666666667,NA,NA
"107",0,"Environment/pollution/climate change",1,"University and above",3,"Low income",0,"VICTORIA","V",1,2,1,4,1,NA,1,4,"BC","2017","",NA,NA,NA,1,1,NA,0,NA,1.33333333333333,NA,NA
"108",1,"Immigration/refugees/racial issues",1,"High school and above",3,"Median income",0,"L'ILE-PERROT","J7V5Z4",2,1,4,4,1,NA,2,1,"QC","2017","2471060","2017",0.0014351513718616,520,2,0,0.14351513718616,1,1,2.33333333333333,NA,NA
"109",0,"Personal finances",0,"High school and above",4,NA,1,"QUBEC","G1G3T1",2,2,3,3,1,NA,1,3,"QC","2017","2423027","2017",0.000955383620640716,103260,1,1,0.0955383620640716,1,NA,2.33333333333333,NA,NA
"110",0,"Poor government/leadership",1,"University and above",4,NA,1,"SAINT-HUGUES","J0H1N0",1,4,3,2,3,NA,3,2,"QC","2017","2454100","2017",0.00645971248429192,140,3,NA,0.645971248429192,1,NA,2.66666666666667,NA,NA
"111",0,"Other",1,"Less than high school",4,"Low income",1,"LA RDEMPTION","G0J1P0",2,2,3,NA,3,NA,2,2,"QC","2017","2409005","2017",0.0117860173171459,22,2,0,1.17860173171459,1,NA,2.33333333333333,NA,NA
"112",1,"Poverty/hunger/homelessness",0,"University and above",4,"Median income",1,"LAVAL","H7R1A3",2,4,3,3,3,NA,2,2,"QC","2017","2465005","2017",0.00102943780924589,106944,2,0,0.102943780924589,1,1,3,NA,NA
"113",0,"Deficit/public debt",0,"Less than high school",4,"Low income",0,"PEMBROKE","K8A1V3",4,NA,4,2,1,NA,NA,2,"ON","2017","3547064","2017",0.00102669502674641,1557,NA,NA,0.102669502674641,0,NA,4,NA,NA
"114",0,"Poor government/leadership",0,"High school and above",4,"Low income",1,"MONTRAL","H1L2V7",2,NA,3,1,1,NA,1,4,"QC","2017","2466023","2017",0.000698237313772013,409423,1,1,0.0698237313772013,1,NA,2.5,NA,NA
"115",1,"None",0,"High school and above",1,"Low income",0,"Winkler","",2,2,3,4,2,NA,3,1,"MB/SK","2017","",NA,NA,NA,3,NA,NA,0,1,2.33333333333333,NA,NA
"116",1,"Economy/interest rates/Recession",1,"Less than high school",3,"High income",0,"BURDETT","T0K0J0",3,4,4,3,3,NA,2,2,"AB","2017","4801008","2017",0.0100799116397364,123,2,0,1.00799116397364,0,1,3.66666666666667,NA,NA
"117",1,"Environment/pollution/climate change",0,"University and above",4,"High income",1,"QUBEC","G1T1P5",1,1,2,1,1,NA,1,2,"QC","2017","2423027","2017",0.000955383620640716,103260,1,1,0.0955383620640716,1,1,1.33333333333333,NA,NA
"118",1,"Poor government/leadership",1,"Less than high school",4,"Low income",0,"RIVER JOHN","B0K1N0",3,2,4,2,3,NA,3,3,"Atlantic","2017","1212001","2017",0.0129893612091727,944,3,NA,1.29893612091727,0,1,3,NA,NA
